name,cuisine,category,location,city,price,lat,lng,rating
Klong,Thai,Lunch/Dinner|Drinks,East Village,New York City,2,40.7295828,-73.9891322,
Xe May Sandwich Shop,Vietnamese,Quick Bites,East Village,New York City,1,40.7272078,-73.9849232,
Veselka,Eastern European,Lunch/Dinner|Brunch,East Village,New York City,2,40.7290155,-73.9871139,
Mr. Purple,Bar,Drinks|Rooftop|Bar,LES,New York City,3,40.721741,-73.988103,
Le Bain,Bar,Drinks|Rooftop|Bar,Meatpacking District,New York City,4,40.740875,-74.0081444,
Laduree,French,Desserts|Brunch,Soho|Upper East Side,New York City,3,40.7242961,-74.0024518,
KENKA,Japanese,Lunch/Dinner,East Village,New York City,1,40.7291388,-73.9884654,
The Granddaddy,Coffee,Cafe,LES,New York City,1,40.7177667,-73.9920389,
Milk & Cream Cereal Bar,Ice Cream,Desserts,Little Italy,New York City,1,40.7195711,-73.9964745,
Keki Modern Cakes,Japanese|Bakery,Desserts,Chinatown|Koreatown,New York City,1,40.7468552,-73.9849861,
Sweet Moment,Korean,Desserts,Little Italy,New York City,2,40.71763,-73.997147,
Simo Pizza,Pizza,Quick Bites,Meatpacking District,New York City,1,40.7392955,-74.0087429,
Boucherie,French,Lunch/Dinner|Desserts|Date Night,Greenwich Village|Gramercy,New York City,3,40.733047,-74.0028772,
Little Cupcake Bakeshop,Bakery,Desserts,Nolita,New York City,1,40.7228991,-73.994847,
Spot Dessert Bar,Asian,Desserts,East Village,New York City,2,40.7293975,-73.988927,
Lazy Llama Coffee Bar,Coffee,Cafe,East Village,New York City,1,40.7235247,-73.9887414,
787 Coffee,Coffee,Cafe,East Village|Gramercy,New York City,1,40.7274023,-73.9888408,
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side|Midtown East,New York City,1,40.730268,-73.993958,
Tonii's Fresh Rice Noodle,Chinese,Quick Bites,Chinatown,New York City,1,40.7156143,-73.998962,
Sobaya,Japanese,Lunch/Dinner|Noodles,East Village,New York City,2,40.7296064,-73.9879383,
Udon West,Japanese|Udon,Lunch/Dinner,East Village,New York City,1,40.7293784,-73.9890747,
JOJU,Vietnamese,Quick Bites,Midtown,New York City,2,40.7556883,-73.9788274,
The Spaniard,Bar|American,Drinks|Lunch/Dinner,South Village,New York City,2,40.7327497,-74.0021829,
Top Thai,Thai,Lunch/Dinner,Greenwich Village,New York City,2,40.7297845,-73.9994477,
Murray's Mac and Cheese,American,Quick Bites,South Village,New York City,1,40.730947,-74.0030587,
CHILI 美麗,Chinese,Drinks|Lunch/Dinner,Midtown,New York City,2,40.7500607,-73.9821266,
Sunday to Sunday,American,Brunch|Cafe,LES,New York City,2,40.7180459,-73.9901863,
The Maze,Korean,Bar|Drinks,Koreatown,New York City,2,40.747606,-73.987256,
Samwon Garden,Korean,Drinks|Lunch/Dinner,Koreatown,New York City,3,40.7481097,-73.9872039,
Five Senses,Korean,Lunch/Dinner,Koreatown,New York City,2,40.747715,-73.986056,
bb.q Chicken,Korean,Quick Bites,Koreatown,New York City,1,40.7479292,-73.986776,
Joe's Steam Rice Roll,Chinese,Quick Bites,Chinatown,New York City,1,40.7190077,-74.0008427,
Epistrophy,Italian,Drinks|Date Night,Nolita,New York City,2,40.721191,-73.995392,
Soho Park,American,Drinks,Soho,New York City,2,40.7236389,-73.9967611,
Pera Soho,Mediterranean,Drinks|Lunch/Dinner,Soho,New York City,2,40.7238167,-74.0033792,
Dominique Ansel,Bakery,Desserts,Soho,New York City,2,40.7252509,-74.0028734,
La Colombe,Coffee,Cafe,Soho|Noho|Midtown|FiDi,New York City,1,40.7280812,-73.9932998,
Bluestone Lane,Australian,Cafe|Brunch,Nolita|South Village|East Village|Greenwich Village|Midtown,New York City,2,40.7301092,-73.9902571,
K'ook,Korean,Lunch/Dinner,East Village,New York City,2,40.7267339,-73.9874331,
Noree Thai Bazaar,Thai,Lunch/Dinner,LES,New York City,2,40.718034,-73.9927672,
Piacere,Italian,Lunch/Dinner,Little Italy,New York City,2,40.719703,-73.9951354,
Asuka Sushi,Japanese|Sushi,Lunch/Dinner,Chelsea,New York City,2,40.7453424,-73.9990165,
The Mercer Kitchen,American,Brunch|Lunch/Dinner|Drinks,Soho,New York City,3,40.7248421,-73.9986494,
Fish Cheeks,Thai|Seafood,Lunch/Dinner,Noho,New York City,2,40.725709,-73.992682,
