name,cuisine,category,location,price,lat,lng
BAIA,Italian|Vegan,Date Night,Hayes Valley,2,37.7781634,-122.4217955
State Bird Provisions,American,To Share|Lunch/Dinner,Western Addition,3,37.7836806,-122.4330028
Kahnfections,Bakery,Brunch|Quick Bites|Cafe,Mission,1,37.7587553,-122.4152538
Wooden Spoon,American,Brunch,Duboce Triangle,2,37.7666797,-122.4305067
Alnico,Asian|American,Brunch|Drinks,Mission,2,37.755944,-122.421318
um.ma,Korean,Lunch/Dinner|Drinks|To Share,Inner Sunset,2,37.7655061,-122.466241
Lao Table,Southeast Asian|Laotian,Lunch/Dinner|Drinks,Fidi,2,37.7874903,-122.3987098
Che Fico,Italian,Date Night|Drinks|Lunch/Dinner,Nopa,3,37.7774971,-122.4380182
Korner Store,Korean|Bar,Bar|Quick Bites|To Share,Mission,1,37.7610855,-122.4217328
Blondie's Bar,Bar,Bar|Drinks,Mission,2,37.764216,-122.4221214
Cafe Hana,Tea|Coffee|Japanese,Tea|Quick Bites,Japantown,1,37.7851991,-122.4303062
Craftsman and Wolves,Bakery,Bakery|Quick Bites|Cafe|Brunch,Mission,2,37.7609056,-122.4216833
Dancing Yak,Nepalese,Lunch/Dinner|Date Night|Drinks|To Share,Mission,2,37.7685299,-122.4225396
Arcana,Bar|Wine,Bar|Drinks|Date Night,Mission,2,37.7567338,-122.4192231
Propagation,Bar,Bar|Drinks,Lower Nob Hill,2,37.7871798,-122.4164241
Shuggie's,American|Pizza,Lunch/Dinner|Drinks,Mission,3,37.7536884,-122.4195459
Happy Shabu Shabu,Japanese,To Share,Western Addition,2,37.7824491,-122.4326914
Automat,American|Bakery,Bakery|Brunch|Lunch/Dinner|Drinks,Nopa,2,37.7772103,-122.4419555
Mi Familia Taqueria,Mexican,Lunch/Dinner|Quick Bites,Haight-Ashbury,1,37.7693024,-122.451731
Pizzeria Delfina,Pizza|Italian,Lunch/Dinner|Drinks,Pacific Heights|Mission,2,37.7889721,-122.4343201
Pizzeria Delfina,Pizza|Italian,Lunch/Dinner|Drinks,Pacific Heights|Mission,2,37.7613671,-122.4243616
Ocean Beach Cafe,Cafe,Cafe|Brunch|Quick Bites,Outer Sunset,2,37.7745996,-122.5106059
Moongate Lounge,Bar|Chinese,Bar|Drinks|Date Night,Chinatown,2,37.7937209,-122.4066555
Bottle Club Pub,Bar,Bar|Drinks,Tenderloin,2,37.7866605,-122.4124094
Na Ya Dessert Cafe,Asian|Cafe,Desserts|Cafe,Hayes Valley|Inner Richmond,2,37.7806373,-122.4768617
Na Ya Dessert Cafe,Asian|Cafe,Desserts|Cafe,Hayes Valley|Inner Richmond,2,37.7772306,-122.4248817
jina bakes,Bakery|Cafe,Bakery|Cafe|Quick Bites,Japantown,2,37.7849195,-122.4318719
Ragazza,Italian,Lunch/Dinner,Lower Haight,2,37.7724494,-122.4374639
La Taqueria,Mexican,Lunch/Dinner|Quick Bites,Mission,1,37.75087860000001,-122.4181833
The Bird,American|Chicken,Lunch/Dinner|Quick Bites,Hayes Valley|Yerba Buena,1,37.7872367,-122.4000993
The Bird,American|Chicken,Lunch/Dinner|Quick Bites,Hayes Valley|Yerba Buena,1,37.7769577,-122.4232471
Rise & Grind Coffee,Cafe|Coffee,Cafe,Inner Richmond|Mission,1,37.7737174,-122.4661482
Rise & Grind Coffee,Cafe|Coffee,Cafe,Inner Richmond|Mission,1,37.7558053,-122.4145989
LUNA Kitchen,Bar|American,Bar|Brunch|Lunch/Dinner|Drinks,Mission,2,37.7618861,-122.4219171
Fig & Thistle,Bar|Wine,Bar|Drinks,Hayes Valley,2,37.7772496,-122.4232435
