Name,Cuisine,Category,Location,Price
Sunday to Sunday,American,Brunch|Cafe,LES,2
The Maze,Korean,Bar|Drinks,Koreatown,2
Samwon Garden,Korean,Drinks|Lunch/Dinner,Koreatown,3
Five Senses,Korean,Lunch/Dinner,Koreatown,2
bb.q Chicken,Korean,Quick Bites,Koreatown,1
Joe's Steam Rice Roll,Chinese,Quick Bites,Chinatown,1
Epistrophy,Italian,Drinks,Nolita,2
Soho Park,American,Drinks|Lunch/Dinner,Soho,2
Pera Soho,Mediterranean,Drinks|Lunch/Dinner,Soho,2
Dominique Ansel,Bakery,Desserts,Soho,2
La Colombe,Coffee,Cafe,Soho|Noho|Midtown|FiDi,1
Bluestone Lane,Australian,Cafe|Brunch,Nolita|South Village|East Village|Greenwich Village|Midtown,2
K'ook,Korean,Lunch/Dinner,East Village,2
Noree Thai Bazaar,Thai,Lunch/Dinner,LES,2
Piacere,Italian,Lunch/Dinner,Little Italy,2
Asuka Sushi,Japanese,Lunch/Dinner,Chelsea,2
The Mercer Kitchen,American,Brunch|Lunch/Dinner|Drinks,Soho,3
Fish Cheeks,Thai,Lunch/Dinner,Noho,2
Taiyaki,Japanese,Desserts,Chinatown,1
Spaghetti Incident,Italian,Lunch/Dinner,LES,2
Sonnyboy,Australian,Brunch|Lunch/Dinner,LES,2
Davelle,Japanese,Brunch|Cafe,LES,2
Sweet Chick,American,Quick Bites,LES,2
Macchina,Italian,Lunch/Dinner,Kips Bay,2
Bao Bao Cafe,Asian,Lunch/Dinner,Kips Bay,1
Caffe Buon Gusto,Italian,Lunch/Dinner,Upper East Side,2
Mamasita Bar & Grill,Mexican,Lunch/Dinner,Hell's Kitchen,2
Cantina Rooftop,Mexican,Rooftop|Drinks|Lunch/Dinner,Hell's Kitchen,2
Bibble & Sip,Bakery,Desserts|Quick Bites,Hell's Kitchen|Little Italy,2
Lafayette Grand Cafe,Bakery|French,Lunch/Dinner|Desserts|Cafe|Brunch,Noho,3
