name,cuisine,category,location,price,lat,lng,rating
Taqueria Cancun,Mexican,Lunch/Dinner|Quick Bites,Mission|Soma|Bernal Heights,1,37.7819686,-122.410317,3.9
Taqueria Cancun,Mexican,Lunch/Dinner|Quick Bites,Mission|Soma|Bernal Heights,1,37.7453604,-122.4199087,3.9
Rich Table,American,Lunch/Dinner,Hayes Valley,3,37.7748657,-122.4228497,3.7
The Mill,Coffee,Cafe|Brunch,Nopa,2,37.7764861,-122.4378944,3.9
Foreign Cinema,American,Brunch|Lunch/Dinner|Date Night|Drinks,Mission,3,37.7564917,-122.4191194,4.2
Delarosa,Italian,Lunch/Dinner,Yerba Buena|Marina/Cow Hollow,2,37.7858351,-122.404415,3.9
Delarosa,Italian,Lunch/Dinner,Yerba Buena|Marina/Cow Hollow,2,37.8002893,-122.439106,3.9
Stonemill Matcha,Japanese,Cafe|Brunch,Mission,2,37.7639681,-122.4216256,4.2
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.78781250000001,-122.4029131,3.9
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.7892025,-122.4098192,3.9
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.7910068,-122.4012623,3.9
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.788651,-122.4002881,3.9
Bob's Donut and Pastry Shop,Bakery,Desserts|Quick Bites,Polk Gulch,1,37.7918769,-122.4212009,4.0
Sweet Maple,American,Brunch,Lower Pacific Heights,2,37.78570819999999,-122.4351203,4.0
Surisan,Korean,Brunch|Lunch/Dinner,Fisherman's Wharf,2,37.8067911,-122.417499,3.7
The Coffee Movement,Coffee,Cafe,Chinatown,1,37.7947671,-122.4102942,4.4
Beretta,Italian,Lunch/Dinner|Drinks,Nopa|Mission,2,37.7538556,-122.4206327,4.1
Beretta,Italian,Lunch/Dinner|Drinks,Nopa|Mission,2,37.77574329999999,-122.4382528,4.1
Sasa Japanese Restaurant,Japanese|Sushi,Lunch/Dinner|Date Night,Japantown,3,37.7852831,-122.4293591,4.3
Uji Time Dessert,Japanese,Desserts|Quick Bites,Japantown|Yerba Buena,1,37.7852472,-122.4291833,4.0
